Blocker ID,Blocker/module name,Category,File,Function,Strategy affected,Earliest commit,Earliest date,First version,Original purpose,Original severity,Current severity,Current default state,Exact condition,Exact action taken,Exact log/block reason,Independent veto,Duplicates another blocker,Duplicate-of,Strengthened in commit/version,Still active in latest,Old-period presence,Current-period presence,Expected trade-frequency impact,False-block risk,Recommendation,Evidence
B011,NEWS FILTER (high-impact event nearby),News protection / post-news gate,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,IsNewsSafe() + InpUseNewsFilter,All setups,pre-window,<2026-05-15,pre-v5.8,Avoid entries around scheduled high-impact news,HARD,HARD (situationally advisory -- see B011b),InpUseNewsFilter,!IsNewsSafe(),return,TRADE BLOCKED BECAUSE: NEWS FILTER (high-impact event nearby),yes,yes,B011b (XAU_EvaluateAdaptiveNewsMomentumEntry),unchanged core logic; new sibling system added alongside it,yes,present (v5.8.50:5038),present (v6.23.3:15858),medium,"medium (now 3 overlapping news systems, see DUPLICATED_AND_CONTRADICTORY_BLOCKERS.md SS6)",MERGE (unify with B011b and the NEWS_OBSERVING advisory carve-out),v5.8.50:5038; v6.23.3:15853-15860
B011b,Adaptive post-news momentum entry gate,News protection / post-news gate,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,XAU_EvaluateAdaptiveNewsMomentumEntry(),All setups,b4fb4ac,2026-07-02,v6.10,Allow continuation entries after news once momentum confirms,HARD (independent veto) + advisory carve-out for B011,HARD,always-on,spreadBlocksEntry false AND adaptive news momentum evaluation fails,return,TRADE BLOCKED BECAUSE: <adaptiveNewsWhy>,yes,yes,B011,unchanged since introduction,yes,absent,present (v6.23.3:15808),medium,medium,MERGE (with B011),b4fb4ac; v6.23.3:15808-15817
B012,DXY correlation veto,HTF trend & consensus gates,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,GetDXYBias() + InpUseDXYFilter,All setups,pre-window,<2026-05-15,pre-v5.8,Block gold entries contradicting dollar-index bias,HARD,HARD,InpUseDXYFilter,dxyBias != 0 AND dxyBias != signal,return,DXY VETO -- gold_bias=%d vs signal=%s,yes,no,,unchanged,yes,present (v5.8.50:5047),present (v6.23.3:15874),medium,MEDIUM-HIGH -- relies on a ~15-min cached cross-asset value to reject a fast M5 opportunity (task Q10),SOFTEN (consider informational-only during strong same-direction M5 momentum),v5.8.50:5047-5062; v6.23.3:15874-15883
B013,ANTI-REVERSAL cooldown,Cooldowns & delay timers,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (InpReversalCooldown),Re-entry / direction flip,pre-window,<2026-05-15,pre-v5.8,Prevent immediate flip-flopping after a close,HARD (time-boxed),HARD,InpReversalCooldown (seconds),direction flip within cooldown window,return,"ANTI-REVERSAL cooldown (%ds left, flipping %s->%s)",yes,no,,unchanged,yes,present (v5.8.50:5064),present (v6.23.3:15998),low-medium,low,KEEP_HARD,v5.8.50:5064-5078; v6.23.3:15998-16000
B014,DIRECTION LOCKOUT (repeated-loss side lock),Repeated-loss / similarity-memory block,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,IsDirectionLocked(),Directional re-entry,2291e67,2026-04-23,pre-v5.8,Lock a side (BUY or SELL) out after recent repeated losses on that side,HARD (time-boxed),HARD,always-on,IsDirectionLocked(signal) true,return,DIR-LOCK -- %s side locked until %s due to recent losses,yes,no,,unchanged,yes,present (v5.8.50:5079),present (v6.23.3:16032),medium,low-medium,KEEP_HARD,2291e67; v5.8.50:5079-5099; v6.23.3:16032-16040
B015,LOCAL ML VETO,Signal-generation blocker / AI confidence gate,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (mlScore),All setups,pre-window,<2026-05-15,pre-v5.8,Reject signals with low local ML-model predicted win rate,HARD,HARD,always-on,mlScore below threshold,return,TRADE BLOCKED BECAUSE: LOCAL ML VETO -- WR=%d%%,yes,no,,unchanged,yes,present (v5.8.50 ~5145),present (v6.23.3:16166),medium,medium (model not re-validated in this audit),KEEP_SOFT,v5.8.50 ~5145; v6.23.3:16166-16170
B016,HIVE VETO (cross-account signature match),Cross-instance & duplicate-trade locks,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (signature lookup),All setups,pre-window,<2026-05-15,pre-v5.8,Prevent duplicate entries across fleet instances sharing a signature,HARD,HARD,always-on,signature match in hive,return,TRADE BLOCKED BECAUSE: HIVE VETO -- signature %s,yes,yes,"B040 (XAU_CrossInstanceEntryLockActive -- newer, function-level, inside OpenTrade)",unchanged,yes,present (v5.8.50 ~5160),present (v6.23.3:16184),low,low,MERGE (with B040 -- two independent cross-instance dedup systems),v5.8.50 ~5160; v6.23.3:16184-16188
B017,CONVICTION-VETO (AI confidence floor),AI confidence & AI Director gates,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (InpMinAIConfidence),All setups,pre-window (v4.5.0 per comment),<2026-05-15,pre-v5.8,Skip marginal 50-60%% AI-confidence trades,HARD,superseded/renamed as AI DIRECTOR BLOCK (B018) in current,InpConvictionSizing,lastAIConfidence>0 AND < InpMinAIConfidence,return,CONVICTION-VETO: AI confidence %d%% < min %d%% -- SKIP,yes,yes,B018,replaced in spirit by AI Director (v6.3.0-era); old code path not confirmed fully removed,uncertain,present (v5.8.50:5203),uncertain (INVESTIGATE_MORE),medium,medium,INVESTIGATE_MORE,v5.8.50:5199-5208
B018,AI DIRECTOR BLOCK (low-confidence AI SKIP),AI confidence & AI Director gates,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,AI Director committee block (inline ~16197-16413),All setups,79024ac (AI DIRECTOR framework); hard-block branch confirmed present at HEAD,2026-06-28,v6.3.6,"Full AI committee review of market context, can ALLOW/BLOCK/REDUCE/INCREASE",HARD in the low-confidence-SKIP branch,HARD (unchanged) DESPITE v6.17.11 commit claiming advisory-only,always-on,AI SKIP verdict with confidence < minimum,return / marks aiVerdictStr=BLOCK,AI DIRECTOR BLOCK: AI SKIP with confidence %d%% < min %.0f%%. Trade blocked.,yes,yes,B017,fc80e1f (v6.17.11) claims to demote this to advisory-only -- verified NOT fully true in shipped code,yes,absent,present (v6.23.3:16360-16362),high,HIGH -- directly contradicts the codebase's own stated architecture; AI is a probabilistic/cacheable/skippable subsystem given hard-veto power over signals that already passed a dozen deterministic gates (task Q11),"FIX_BUG (either genuinely demote to advisory as the commit message claims, or stop claiming advisory-only)",79024ac; fc80e1f; v6.23.3:16197-16413 esp. 16360-16362; DUPLICATED_AND_CONTRADICTORY_BLOCKERS.md SS4
B019,ContextGateAllows HTF bias + swing S/R gate,HTF trend & consensus gates / location rules,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,ContextGateAllows(),All setups,d10d65e,2026-04-30,pre-v5.8,Block entries fighting H4 bias or sitting within 0.4xATR of a recent swing high/low without break-retest,HARD,HARD,always-on,H4 EMA50/EMA200 conflict OR swing S/R proximity,return,(inside function -- caller just returns false),yes,yes,"B003/B005 (SmartGuard structure-conflict overlap -- unresolved, see DUPLICATED_AND_CONTRADICTORY_BLOCKERS.md SS3)",now also incorporates XAU_ClassifySetup() countertrend evidence (v6.17.23),yes,present (v5.8.50:5257),present (v6.23.3:16536),high (last-defense gate before OpenTrade in both eras),"medium (relies on H4 -- slower TF -- to reject fast M5 opportunities, task Q10)",INVESTIGATE_MORE (overlap with SmartGuard),d10d65e; v5.8.50:5257; v6.23.3:16536; 1436aab
B020,PROFIT GUARDIAN VETO (PG_BlockReason),Setup eligibility gate / drawdown restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,PG_BlockReason(),All setups,4650259,2026-05-04,pre-v5.8,"Block counter-trend stacks, tier-3 halt, post-loss cooldown, enforce Selective Mode (A/A+ only after giveback brake)",HARD,HARD,always-on,pgBlock string non-empty,return,PROFIT GUARDIAN VETO: <pgBlock> (signal=... grade=...),yes,yes,"B021/B024 (overlapping account-state lot/veto stack, see DUPLICATED_AND_CONTRADICTORY_BLOCKERS.md SS8)",unchanged core,yes,present (v5.8.50:5262),present (v6.23.3:16572),medium,medium,MERGE (with B021/B024/B033 account-state stack),4650259; v5.8.50:5262-5274; v6.23.3:16572-16575
B021,EPF_EntryBlockReason (Entry Price Floor tiers),Setup eligibility gate / risk reduction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,EPF_EntryBlockReason(),All setups,1301b07 (sibling); d0a761a (this fn),2026-05-25,v5.8.x,Tiered entry-price-floor protection with adaptive T4 soft-pass,HARD (with adaptive soft-pass),HARD,always-on,epfBlock string non-empty,return (unless T4 adaptive pass at reduced size),EPF VETO: <epfBlock> (signal=... setupScore=... combined=... grade=...),yes,yes,B020/B024,unchanged,yes,present (v5.8.50:5275),present (v6.23.3:16587),medium,medium,MERGE (with B020/B024),d0a761a; v5.8.50:5275-5290; v6.23.3:16587-16593
B022,EPF CLUSTER VETO,Anti-chase/overextension / pyramid restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,EPF_IsClusteredEntry(),Pyramiding/rescue adds,d0a761a-era,2026-05-25,v5.8.x,Reject fresh entries too close in price+time to an existing same-direction position (prevents reversal-amplifying stacks),HARD,HARD,always-on,EPF_IsClusteredEntry() true,return,EPF CLUSTER VETO: entry too close to existing same-direction position,yes,no,,unchanged,yes,present (v5.8.50:5291),present (v6.23.3:16607),low-medium,LOW -- prior audit found the one traceable rescue-add-into-adverse-move in the dataset made a loss worse; this is exactly the protection that should stay,KEEP_HARD,v5.8.50:5291-5301; v6.23.3:16607-16609
B023,XAU_TradeBrainPreEntry BRAIN-BLOCK,Memory-based block,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,XAU_TradeBrainPreEntry(),All setups,0b0882b-era (trade brain memory added 2026-06-01),2026-06-01,v5.8.39,Use persisted trade-outcome memory to pre-screen new entries,HARD,HARD,always-on,XAU_TradeBrainPreEntry() returns false,return,dashboard tag BRAIN-BLOCK,yes,no,,strengthened by v6.3.8 persistent TradeBrain,yes,present (v5.8.50:5338),present (v6.23.3:16645),medium,"medium (memory-based blocks risk treating small/biased samples as ground truth, task Q12)",INVESTIGATE_MORE,0b0882b; 8101794; v5.8.50:5338-5346; v6.23.3:16642-16648
B024,Basket direction loss block,Loss-based risk reduction / drawdown restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,BasketDirectionLossBlock(),Same-direction new entries,79024ac,2026-06-28,v6.3.6,Block new same-direction entries if floating loss exceeds X%% of balance,HARD,HARD,InpBasketDirLossBlockPct=2.0,floating loss > 2%% of balance,return,TRADE BLOCKED BECAUSE: <bdlReason>,yes,yes,B020/B021,unchanged since introduction,yes,absent,present (v6.23.3:16007-16017),medium,low-medium (genuine drawdown protection),KEEP_HARD,79024ac; v6.23.3:16007-16017
B025,ADAPTIVE_DRAWDOWN grade-conditional block,Drawdown-based restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline,B/lower-grade setups,post-window,2026-06-28..07-14 (exact commit not pinned),v6.x,Block non-A/A+ grades when equity is below its recent watermark,HARD (grade-conditional),HARD,always-on,equity below watermark AND grade not A/A+,return,ADAPTIVE_DRAWDOWN: grade=... blocked (equity below watermark) -- A/A+ setups still allowed,yes,no,,unconfirmed,yes,absent,present (v6.23.3:16547),medium,"low (genuine drawdown protection, grade-aware)",KEEP_HARD,v6.23.3:16547
B026,SIZE GUARD / FULL_RISK_BINARY_BLOCK,Risk & lot-sizing / hard bug-fix conversion,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (finalSzMult check),All setups,027c9f0,2026-07-13,v6.21.2,Explicitly convert what used to be a 0.01-lot fallback into an outright block when quality evidence is below executable threshold,was SOFT (lot floor/clamp),now HARD (deliberately hardened),always-on,finalSzMult quality evidence below executable threshold,return / block instead of clamp,SIZE GUARD BLOCK: finalSzMult=... / FULL_RISK_BINARY_BLOCK: combined quality evidence ... is below executable threshold; block instead of clamping to a token-size order,yes,no,,"027c9f0 itself IS the strengthening commit (soft-to-hard conversion, task Q6)",yes,absent,present (v6.23.3:16695-16708),high,MEDIUM-HIGH -- directly answers task Q16 (reduce lot to near-zero despite a valid trade) by name: exists because OLD behavior allowed 0.01-lot trades through and the team decided outright blocking was better,INVESTIGATE_MORE (verify tradeoff vs. a proportional minimum),027c9f0; v6.23.3:16690-16708
B027,"STI_LATE_BLOCK (late entry, trend moved too far)",Anti-chase/overextension / exhaustion rules,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (Smart Timing Intelligence),TREND_PULLBACK and trend-following setups,post-window,2026-06-28..07-08 (exact commit not pinned),v6.x,Hard-block extreme late entries where trend has run without a reset,HARD,HARD,always-on,lateRisk >= threshold,return,STI_LATE_BLOCK | %s %s | lateRisk=%.0f >= %.0f ... trend moved too far without reset -- wait for pullback,yes,yes,B028 (STI_EXHAUST_BLOCK -- sibling in same STI system),unconfirmed,yes,absent,present (v6.23.3:15906-15915),"high (directly targets TREND_PULLBACK continuation entries, task Q14)",HIGH -- same class of gate the v6.23.3 release fixed for a sibling mechanism (failedImpulseBlock); not independently re-audited for false-block rate here,INVESTIGATE_MORE,v6.23.3:15903-15915
B028,STI_EXHAUST_BLOCK (RSI divergence + ATR contraction),Exhaustion rules,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (Smart Timing Intelligence),TREND_PULLBACK and trend-following setups,post-window,2026-06-28..07-08 (exact commit not pinned),v6.x,Hard-block entries when RSI divergence + ATR contraction confirm trend fatigue,HARD (with structural-bypass soften path),HARD,always-on,exhaust >= threshold AND tcp < 60,return (unless XAU_StructuralBypassAllowed + XAU_StrongContextForSoftBypass),STI_EXHAUST_BLOCK | %s %s | exhaust=%.0f >= %.0f AND tcp=%.0f < 60 | RSI divergence + ATR contraction confirm trend fatigue,yes,yes,B027,unconfirmed,yes,absent,present (v6.23.3:15922-15964),high,HIGH -- same class as failedImpulseBlock (B045) which v6.23.3 proved was hard-blocking 33%% of the cleanest trend continuations; this sibling gate was NOT covered by that fix,INVESTIGATE_MORE (apply same continuation-health-score treatment as B045),v6.23.3:15922-15964
B029,PERSONALITY GATE mismatch,Regime/market-personality mismatch,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,StrategyFitsPersonality(),All setups,0683572,2026-06-28,v6.4.0,Block/adjust setups that don't fit the currently-detected market personality,HARD (A/A+ grade requirement) with 2 soften paths,HARD,always-on,setup not ideal for detected personality AND grade not A/A+ (after 2 soften checks fail),return,PERSONALITY GATE BLOCK: %s grade not A/A+ in %s,yes,"yes (called twice in one pipeline, see DUPLICATED_AND_CONTRADICTORY_BLOCKERS.md SS2)",self (symmetric recheck),v6.17.10 (Personality Gate Symmetric Recheck) strengthened this,yes,absent,present (v6.23.3:14987-15101),high,HIGH -- prior audit's counterfactual found 47%% 'would have won if flipped' rate (n=17) for this exact blocker class,SOFTEN,0683572; 463fef2 (v6.17.10); v6.23.3:14987-15101; audits/xau_opposite_direction_counterfactual_audit_2026-07-06_to_2026-07-08.md
B030,SMC HARD CONFLICT BLOCK,BOS/CHoCH/SMC/OB/FVG structure conflict,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,g_smcHardBlockActive / SMC_DetectOrderBlocks(),All setups,d72d206 (global); 79024ac (detect fn),2026-06-28,v6.3.6/v6.7.0,Force-downgrade grade to SKIP on detected SMC structural conflict,HARD (grade-force to SKIP),HARD,always-on,g_smcHardBlockActive true,grade forced to SKIP,SMC HARD CONFLICT BLOCK: <reason> -- grade <grade> downgraded to SKIP,yes,yes,"B019 (ContextGateAllows structure gate -- overlapping responsibility, unresolved)",unconfirmed,yes,absent,present (v6.23.3:15222-15225),medium-high,medium,INVESTIGATE_MORE (overlap with ContextGateAllows),79024ac; d72d206; v6.23.3:15222-15225
B031,TRI RE-ENTRY BLOCK,Re-entry restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,Trade Recovery Intelligence (TRI),Re-entry after loss/recovery,bc067f1,2026-07-02,v6.8.0,Block re-entries that don't meet Trade Recovery Intelligence criteria,HARD,HARD,always-on,TRI evaluation fails,return,TRI RE-ENTRY BLOCK: <triBlockMsg>,yes,yes,B014/B024/B032 (multiple re-entry-adjacent gates),unconfirmed,yes,absent,present (v6.23.3:15252),medium,medium,MERGE (re-entry gate family),bc067f1; v6.23.3:15252
B032,RECOVERY-GATE,Transition-state & recovery-state restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (recMsg),Recovery re-entries,post-window,2026-06-28..07-14 (exact commit not pinned),v6.x,Gate recovery-path re-entries,HARD,HARD,always-on,recovery condition fails,return,TRADE BLOCKED BECAUSE: <recMsg>,yes,yes,B031,unconfirmed,yes,absent,present (v6.23.3:16051),medium,medium,MERGE (re-entry/recovery gate family),v6.23.3:16041-16051
B033,XAU_GrowthGuardEntryBlockReason,Daily limits / growth locks / account-state locks,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,XAU_GrowthGuardEntryBlockReason(),All setups,9727bc0,2026-06-30,v6.4.12,Block entries when account-relative growth-guard state (daily lock/protected base) is active,HARD,HARD,always-on,growth guard triggers,return false (inside OpenTrade() itself),growthEntryBlock string,yes,yes,B020/B021/B024 (account-state stack),unconfirmed,yes,absent,present (v6.23.3:18025 inside OpenTrade()),high (lives inside the final order-send function -- catches everything that reaches it),medium,MERGE (account-state stack) but note this is correctly the last line of defense inside OpenTrade -- do not remove without replacement,9727bc0; v6.23.3:18025
B034,XAU_GrowthDailyLockTriggered,Daily limits / growth locks,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,XAU_GrowthDailyLockTriggered(),All setups,9727bc0,2026-06-30,v6.4.12,Daily profit/loss lock tied to account growth state,HARD,HARD,always-on,daily lock condition met,blocks entries / manages positions,DAILY_PROFIT_LOCK / GROWTH_DAILY_LOCK,yes,yes,B033,unconfirmed,yes,absent,present,medium,low (genuine daily-state protection),KEEP_HARD,9727bc0; git log -S XAU_GrowthDailyLockTriggered
B035,XAU_GrowthGuardCanPyramid,Pyramid restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,XAU_GrowthGuardCanPyramid(),Pyramiding,9727bc0,2026-06-30,v6.4.12,Gate pyramid adds through growth-guard account-relative logic,HARD,HARD,always-on,growth guard disallows pyramid,pyramid add skipped,"(function-level boolean, no single fixed log string identified)",yes,yes,B036/B038,unconfirmed,yes,absent,present,medium,medium,MERGE (pyramid gate family),9727bc0; git log -S XAU_GrowthGuardCanPyramid
